path,phash,whash
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00078_back.webp,91c74e386ac76d98,003e7e6e4f7e3e00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00078_front.webp,954b4bb46a3b2de0,003c7e7e7e7e3c00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00079_back.webp,91c34e3c6bc73c98,003c7e6e4f5e7e08
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00079_front.webp,954b4eb46a1b2de4,003c7e7e7e7e3c00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00080_back.webp,8599527c4af3393c,183e7e7f3f262600
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00080_front.webp,c4911f4e4b8f3b62,182e7effff321000
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00081_back.webp,95705a936b8f298e,18027e7e7e7e3c08
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00081_front.webp,91904aca2f3d6d6e,083c3e1f7f7e3c00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00082_back.webp,95c353642a9d6d63,187e6e1f017e3e18
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00082_front.webp,99995a9e6ac66992,183e5e1f3f3e3c00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00083_back.webp,806bd5d51d3e49c9,426700007f7f7f66
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00083_front.webp,957f5585c085c4dd,000000777f7f7f5e
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00084_back.webp,955551cf54c754ca,003e7e3e3e7e3e00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00084_front.webp,95e7463d439618c7,00667e7e7f0e7e00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00085_back.webp,c0d85d475d951d63,7cfcffff60602000
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00085_front.webp,90d9454715c75d7c,7effffff00202000
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00086_back.webp,8597505a59377599,007f27273f676702
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00086_front.webp,95d56d2f548741ac,003e7efe7f7e0200
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00087_back.webp,95b16a576a1e7468,007e7e7e5e7e1c00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00087_front.webp,87a578785a626d99,003f3f7e3e367600
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00088_back.webp,8447c5b95cf661c9,7e7e660000437f7e
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00088_front.webp,954ec5395ce661c9,7e7e660000467f7e
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00089_back.webp,c59d61d65993443d,6a7b727e10f6e240
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00089_front.webp,94f087a353c34fb4,66c7c2f8ce180f1e
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00090_back.webp,95d5748c41fa54e3,003e3e7e3e3e3f00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00090_front.webp,90d7656dd092656d,0e1f1e7e1e3f0f00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00091_back.webp,d59751c755c1542d,3e7e067e7e7e0800
